KEGG	GO_ID	GO_Description
ppa:PAS_chr3_0367;		
ppa:PAS_chr3_0366;	P:GO:0044283; F:GO:0016491; F:GO:0016706; F:GO:0046872	P:small molecule biosynthetic process; F:oxidoreductase activity; F:2-oxoglutarate-dependent dioxygenase activity; F:metal ion binding
ppa:PAS_chr3_0365;	P:GO:0006260; P:GO:0006271; P:GO:0006457; F:GO:0003677; F:GO:0005524; F:GO:0016887; F:GO:0051082; F:GO:0140662; C:GO:0005737; C:GO:0005739	P:DNA replication; P:DNA strand elongation involved in DNA replication; P:protein folding; F:DNA binding; F:ATP binding; F:ATP hydrolysis activity; F:unfolded protein binding; F:ATP-dependent protein folding chaperone; C:cytoplasm; C:mitochondrion
ppa:PAS_chr3_1182;		
ppa:PAS_chr3_0364;	P:GO:0034599; C:GO:0005737	P:cellular response to oxidative stress; C:cytoplasm
ppa:PAS_chr3_0363;	P:GO:0000045; P:GO:0006914; P:GO:0015031; P:GO:0016236; P:GO:0032258; P:GO:0034727; P:GO:0044804; P:GO:0061723; P:GO:0097352; F:GO:0005515; F:GO:0008047; F:GO:0019776; F:GO:0031386; C:GO:0000421; C:GO:0005737; C:GO:0005829; C:GO:0016020; C:GO:0034045; C:GO:0034274; C:GO:1990234	P:autophagosome assembly; P:autophagy; P:protein transport; P:macroautophagy; P:cytoplasm to vacuole targeting by the Cvt pathway; P:piecemeal microautophagy of the nucleus; P:nucleophagy; P:glycophagy; P:autophagosome maturation; F:protein binding; F:enzyme activator activity; F:Atg8-family ligase activity; F:protein tag activity; C:autophagosome membrane; C:cytoplasm; C:cytosol; C:membrane; C:phagophore assembly site membrane; C:Atg12-Atg5-Atg16 complex; C:transferase complex
ppa:PAS_chr3_0362;		
ppa:PAS_chr3_1181;	P:GO:0032511; C:GO:0005768; C:GO:0016020; C:GO:0034424	P:late endosome to vacuole transport via multivesicular body sorting pathway; C:endosome; C:membrane; C:Vps55/Vps68 complex
ppa:PAS_chr3_0361;	P:GO:0019363; F:GO:0016787; F:GO:0016811; F:GO:0046872	"P:pyridine nucleotide biosynthetic process; F:hydrolase activity; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; F:metal ion binding"
ppa:PAS_chr3_0360;	P:GO:0010906; P:GO:0015986; P:GO:0046034; P:GO:1902600; F:GO:0004672; F:GO:0004740; F:GO:0005524; F:GO:0016301; F:GO:0016887; F:GO:0046933; F:GO:0046961; C:GO:0000325; C:GO:0000329; C:GO:0005739; C:GO:0005759; C:GO:0005774; C:GO:0012505; C:GO:0016020; C:GO:0033180	"P:regulation of glucose metabolic process; P:proton motive force-driven ATP synthesis; P:ATP metabolic process; P:proton transmembrane transport; F:protein kinase activity; F:pyruvate dehydrogenase (acetyl-transferring) kinase activity; F:ATP binding; F:kinase activity; F:ATP hydrolysis activity; F:proton-transporting ATP synthase activity, rotational mechanism; F:proton-transporting ATPase activity, rotational mechanism; C:plant-type vacuole; C:fungal-type vacuole membrane; C:mitochondrion; C:mitochondrial matrix; C:vacuolar membrane; C:endomembrane system; C:membrane; C:proton-transporting V-type ATPase, V1 domain"
ppa:PAS_chr3_0359;	P:GO:0000209; P:GO:0006281; P:GO:0030435; P:GO:0043161; F:GO:0004842; F:GO:0005524; F:GO:0016740; F:GO:0061631; C:GO:0033503	P:protein polyubiquitination; P:DNA repair; P:sporulation resulting in formation of a cellular spore; P:proteasome-mediated ubiquitin-dependent protein catabolic process; F:ubiquitin-protein transferase activity; F:ATP binding; F:transferase activity; F:ubiquitin conjugating enzyme activity; C:HULC complex
ppa:PAS_chr3_0358;		
ppa:PAS_chr3_0357;	P:GO:0006665; P:GO:0006679; F:GO:0008120; F:GO:0016757; F:GO:0102769; C:GO:0016020	P:sphingolipid metabolic process; P:glucosylceramide biosynthetic process; F:ceramide glucosyltransferase activity; F:glycosyltransferase activity; F:obsolete dihydroceramide glucosyltransferase activity; C:membrane
ppa:PAS_chr3_0356;		
ppa:PAS_chr3_0355;	P:GO:0098869; F:GO:0051920	P:cellular oxidant detoxification; F:peroxiredoxin activity
ppa:PAS_chr3_0354;	P:GO:0006099; P:GO:0006104; P:GO:0046856; F:GO:0000287; F:GO:0003824; F:GO:0004438; F:GO:0004775; F:GO:0005524; F:GO:0016874; F:GO:0046872; F:GO:0106018; C:GO:0005737; C:GO:0005739; C:GO:0005829; C:GO:0016020; C:GO:0042709	"P:tricarboxylic acid cycle; P:succinyl-CoA metabolic process; P:phosphatidylinositol dephosphorylation; F:magnesium ion binding; F:catalytic activity; F:phosphatidylinositol-3-phosphate phosphatase activity; F:succinate-CoA ligase (ADP-forming) activity; F:ATP binding; F:ligase activity; F:metal ion binding; F:phosphatidylinositol-3,5-bisphosphate phosphatase activity; C:cytoplasm; C:mitochondrion; C:cytosol; C:membrane; C:succinate-CoA ligase complex"
ppa:PAS_chr3_0353;		
ppa:PAS_chr3_0352;	P:GO:0031146; C:GO:0005737; C:GO:0019005	P:SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; C:cytoplasm; C:SCF ubiquitin ligase complex
ppa:PAS_chr3_0351;		
ppa:PAS_chr3_0350;	P:GO:0000041; P:GO:0006811; P:GO:0006826; P:GO:0006879; P:GO:0015677; P:GO:0016192; P:GO:0048193; F:GO:0000293; F:GO:0016491; C:GO:0005886; C:GO:0016020; C:GO:0030008	P:transition metal ion transport; P:monoatomic ion transport; P:iron ion transport; P:intracellular iron ion homeostasis; P:copper ion import; P:vesicle-mediated transport; P:Golgi vesicle transport; F:ferric-chelate reductase activity; F:oxidoreductase activity; C:plasma membrane; C:membrane; C:TRAPP complex
ppa:PAS_chr3_1180;	P:GO:0006654; P:GO:0035965; P:GO:0055088; F:GO:0004623; F:GO:0042171; C:GO:0005739; C:GO:0005743	P:phosphatidic acid biosynthetic process; P:cardiolipin acyl-chain remodeling; P:lipid homeostasis; F:phospholipase A2 activity; F:lysophosphatidic acid acyltransferase activity; C:mitochondrion; C:mitochondrial inner membrane
ppa:PAS_chr3_0349;	F:GO:0016491; C:GO:0005829	F:oxidoreductase activity; C:cytosol
ppa:PAS_chr3_0348;		
ppa:PAS_chr3_0347;	P:GO:0000226; P:GO:0035556; F:GO:0004672; F:GO:0004674; F:GO:0005524; F:GO:0050321; F:GO:0106310; C:GO:0005737	P:microtubule cytoskeleton organization; P:intracellular signal transduction; F:protein kinase activity; F:protein serine/threonine kinase activity; F:ATP binding; F:tau-protein kinase activity; F:protein serine kinase activity; C:cytoplasm
ppa:PAS_chr3_0346;	P:GO:0006281; P:GO:0006338; F:GO:0004386; F:GO:0005524; F:GO:0008094; F:GO:0016787; F:GO:0046872; F:GO:0140658; C:GO:0005634	"P:DNA repair; P:chromatin remodeling; F:helicase activity; F:ATP binding; F:ATP-dependent activity, acting on DNA; F:hydrolase activity; F:metal ion binding; F:ATP-dependent chromatin remodeler activity; C:nucleus"
ppa:PAS_chr3_0345;		
ppa:PAS_chr3_0344;		
ppa:PAS_chr3_1179;		
ppa:PAS_chr3_0343;	P:GO:0030968; P:GO:0030970; P:GO:0036503; F:GO:0030246; C:GO:0005783; C:GO:0005788; C:GO:0005789; C:GO:0016020	"P:endoplasmic reticulum unfolded protein response; P:retrograde protein transport, ER to cytosol; P:ERAD pathway; F:carbohydrate binding; C:endoplasmic reticulum; C:endoplasmic reticulum lumen; C:endoplasmic reticulum membrane; C:membrane"
ppa:PAS_chr3_1178;		
ppa:PAS_chr3_0342;	P:GO:0006891; P:GO:0015031; P:GO:0016192; P:GO:0035494; P:GO:0043001; F:GO:0005524; F:GO:0016787; F:GO:0016887; C:GO:0005737; C:GO:0005795	P:intra-Golgi vesicle-mediated transport; P:protein transport; P:vesicle-mediated transport; P:SNARE complex disassembly; P:Golgi to plasma membrane protein transport; F:ATP binding; F:hydrolase activity; F:ATP hydrolysis activity; C:cytoplasm; C:Golgi stack
ppa:PAS_chr3_0341;		
ppa:PAS_chr3_0340;	P:GO:0001732; P:GO:0002183; P:GO:0002188; P:GO:0006412; P:GO:0006413; F:GO:0003723; F:GO:0003729; F:GO:0003743; C:GO:0005737; C:GO:0005852; C:GO:0016282; C:GO:0033290; C:GO:0043614; C:GO:0071540; C:GO:0071541	"P:formation of cytoplasmic translation initiation complex; P:cytoplasmic translational initiation; P:translation reinitiation; P:translation; P:translational initiation; F:RNA binding; F:mRNA binding; F:translation initiation factor activity; C:cytoplasm; C:eukaryotic translation initiation factor 3 complex; C:eukaryotic 43S preinitiation complex; C:eukaryotic 48S preinitiation complex; C:multi-eIF complex; C:eukaryotic translation initiation factor 3 complex, eIF3e; C:eukaryotic translation initiation factor 3 complex, eIF3m"
ppa:PAS_chr3_1177;		
ppa:PAS_chr3_0339;	P:GO:0031929; C:GO:0005829	P:TOR signaling; C:cytosol
ppa:PAS_chr3_0338;	F:GO:0016491; F:GO:0016971; F:GO:0016972; F:GO:0050660; C:GO:0005739	F:oxidoreductase activity; F:flavin-dependent sulfhydryl oxidase activity; F:thiol oxidase activity; F:flavin adenine dinucleotide binding; C:mitochondrion
ppa:PAS_chr3_0337;	F:GO:0005199	F:structural constituent of cell wall
ppa:PAS_chr3_0336;		
ppa:PAS_chr3_0335;	P:GO:0006412; F:GO:0003735; C:GO:0005840; C:GO:0044391; C:GO:1990904	P:translation; F:structural constituent of ribosome; C:ribosome; C:ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr3_0334;		
ppa:PAS_chr3_0333;	P:GO:0006397; C:GO:0005634; C:GO:0005847	P:mRNA processing; C:nucleus; C:mRNA cleavage and polyadenylation specificity factor complex
ppa:PAS_chr3_0332;	P:GO:1901360; F:GO:0016491; F:GO:0046872; F:GO:0051213	P:obsolete organic cyclic compound metabolic process; F:oxidoreductase activity; F:metal ion binding; F:dioxygenase activity
ppa:PAS_chr3_0331;	P:GO:0007120; P:GO:0051301; P:GO:0097271; P:GO:1901360; F:GO:0005525; F:GO:0016491; F:GO:0046872; F:GO:0051213; C:GO:0000142	P:axial cellular bud site selection; P:cell division; P:protein localization to bud neck; P:obsolete organic cyclic compound metabolic process; F:GTP binding; F:oxidoreductase activity; F:metal ion binding; F:dioxygenase activity; C:cellular bud neck contractile ring
ppa:PAS_chr3_0330;		
ppa:PAS_chr3_0329;	P:GO:0000723; P:GO:0006281; P:GO:0006303; P:GO:0006310; P:GO:0032508; F:GO:0003677; F:GO:0003678; F:GO:0003684; F:GO:0003690; F:GO:0004386; F:GO:0005524; F:GO:0016787; F:GO:0042162; C:GO:0000781; C:GO:0005634; C:GO:0005694; C:GO:0043564	"P:telomere maintenance; P:DNA repair; P:double-strand break repair via nonhomologous end joining; P:DNA recombination; P:DNA duplex unwinding; F:DNA binding; F:DNA helicase activity; F:damaged DNA binding; F:double-stranded DNA binding; F:helicase activity; F:ATP binding; F:hydrolase activity; F:telomeric DNA binding; C:chromosome, telomeric region; C:nucleus; C:chromosome; C:Ku70:Ku80 complex"
ppa:PAS_chr3_0328;	P:GO:0033617; C:GO:0005739; C:GO:0016020	P:mitochondrial cytochrome c oxidase assembly; C:mitochondrion; C:membrane
ppa:PAS_chr3_0327;		
ppa:PAS_chr3_0326;		
ppa:PAS_chr3_0325;	P:GO:0000245; P:GO:0000398; P:GO:0006396; P:GO:0008380; C:GO:0000974; C:GO:0005634; C:GO:0005681; C:GO:0071007; C:GO:0071011; C:GO:0071014	"P:spliceosomal complex assembly; P:mRNA splicing, via spliceosome; P:RNA processing; P:RNA splicing; C:Prp19 complex; C:nucleus; C:spliceosomal complex; C:U2-type catalytic step 2 spliceosome; C:precatalytic spliceosome; C:post-mRNA release spliceosomal complex"
ppa:PAS_chr3_0324;	P:GO:0000398; P:GO:0006397; P:GO:0008380; P:GO:0048024; F:GO:0003723; F:GO:0003729; F:GO:0008270; F:GO:0045131; F:GO:0046872; C:GO:0005634; C:GO:0005681	"P:mRNA splicing, via spliceosome; P:mRNA processing; P:RNA splicing; P:regulation of mRNA splicing, via spliceosome; F:RNA binding; F:mRNA binding; F:zinc ion binding; F:pre-mRNA branch point binding; F:metal ion binding; C:nucleus; C:spliceosomal complex"
ppa:PAS_chr3_0322;	P:GO:0000712; P:GO:0000819; P:GO:0006259; P:GO:0006265; P:GO:0061982; F:GO:0003677; F:GO:0003916; F:GO:0003918; F:GO:0005524; F:GO:0046872; C:GO:0005634	"P:resolution of meiotic recombination intermediates; P:sister chromatid segregation; P:DNA metabolic process; P:DNA topological change; P:meiosis I cell cycle process; F:DNA binding; F:DNA topoisomerase activity; F:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; F:ATP binding; F:metal ion binding; C:nucleus"
ppa:PAS_chr3_0321;		
ppa:PAS_chr3_0320;	P:GO:0000226; P:GO:0006457; P:GO:0007021; P:GO:0007023; F:GO:0005096; F:GO:0048487; C:GO:0016328	P:microtubule cytoskeleton organization; P:protein folding; P:tubulin complex assembly; P:post-chaperonin tubulin folding pathway; F:GTPase activator activity; F:beta-tubulin binding; C:lateral plasma membrane
ppa:PAS_chr3_0319;	P:GO:0032981; C:GO:0005739	P:mitochondrial respiratory chain complex I assembly; C:mitochondrion
ppa:PAS_chr3_0318;	P:GO:0000372; C:GO:1990904	P:Group I intron splicing; C:ribonucleoprotein complex
ppa:PAS_chr3_0317;	P:GO:0006695; P:GO:0006696; P:GO:0008610; P:GO:0016126; P:GO:0045338; F:GO:0004310; F:GO:0004311; F:GO:0016740; F:GO:0051996; C:GO:0005789; C:GO:0016020	P:cholesterol biosynthetic process; P:ergosterol biosynthetic process; P:lipid biosynthetic process; P:sterol biosynthetic process; P:farnesyl diphosphate metabolic process; F:obsolete farnesyl-diphosphate farnesyltransferase activity; F:farnesyltranstransferase activity; F:transferase activity; F:squalene synthase [NAD(P)H] activity; C:endoplasmic reticulum membrane; C:membrane
ppa:PAS_chr3_0316;	P:GO:0009267; P:GO:0010507; F:GO:0003924; F:GO:0005525; C:GO:0000329; C:GO:0005634; C:GO:1990131	P:cellular response to starvation; P:negative regulation of autophagy; F:GTPase activity; F:GTP binding; C:fungal-type vacuole membrane; C:nucleus; C:Gtr1-Gtr2 GTPase complex
ppa:PAS_chr3_0315;	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane
ppa:PAS_chr3_0313;	P:GO:0035556; F:GO:0043539	P:intracellular signal transduction; F:protein serine/threonine kinase activator activity
ppa:PAS_chr3_0312;	P:GO:0015031; P:GO:0032509; P:GO:0043328; F:GO:0032266; F:GO:0043130; F:GO:0046872; C:GO:0000814; C:GO:0005737; C:GO:0005768; C:GO:0031902	P:protein transport; P:endosome transport via multivesicular body sorting pathway; P:protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway; F:phosphatidylinositol-3-phosphate binding; F:ubiquitin binding; F:metal ion binding; C:ESCRT II complex; C:cytoplasm; C:endosome; C:late endosome membrane
ppa:PAS_chr3_0311;		
ppa:PAS_chr3_0310;	P:GO:0006897; P:GO:0016197; P:GO:0043161; F:GO:0005509; F:GO:0043130; F:GO:0045296; C:GO:0005634; C:GO:0005737; C:GO:0005886; C:GO:0030132	P:endocytosis; P:endosomal transport; P:proteasome-mediated ubiquitin-dependent protein catabolic process; F:calcium ion binding; F:ubiquitin binding; F:cadherin binding; C:nucleus; C:cytoplasm; C:plasma membrane; C:clathrin coat of coated pit
ppa:PAS_chr3_0309;		
ppa:PAS_chr3_0308;	P:GO:0006281; P:GO:0006303; P:GO:0036297; F:GO:0003684; F:GO:0035312; C:GO:0005634	P:DNA repair; P:double-strand break repair via nonhomologous end joining; P:interstrand cross-link repair; F:damaged DNA binding; F:5'-3' DNA exonuclease activity; C:nucleus
ppa:PAS_chr3_0307;	P:GO:0015031; P:GO:0030150; C:GO:0005739; C:GO:0005743; C:GO:0005744	P:protein transport; P:protein import into mitochondrial matrix; C:mitochondrion; C:mitochondrial inner membrane; C:TIM23 mitochondrial import inner membrane translocase complex
ppa:PAS_chr3_0306;		
ppa:PAS_chr3_0305;	P:GO:0005993; P:GO:0006629; P:GO:0006796; F:GO:0004555; F:GO:0005509; F:GO:0008081; F:GO:0015927; F:GO:0016798; C:GO:0005737	"P:trehalose catabolic process; P:lipid metabolic process; P:phosphate-containing compound metabolic process; F:alpha,alpha-trehalase activity; F:calcium ion binding; F:phosphoric diester hydrolase activity; F:trehalase activity; F:hydrolase activity, acting on glycosyl bonds; C:cytoplasm"
ppa:PAS_chr3_0303;	P:GO:0006508; F:GO:0004190	P:proteolysis; F:aspartic-type endopeptidase activity
ppa:PAS_chr3_0302;		
ppa:PAS_chr3_0301;	P:GO:0042147; C:GO:0000938; C:GO:0005768; C:GO:0005794; C:GO:0005829; C:GO:0010008; C:GO:0016020	"P:retrograde transport, endosome to Golgi; C:GARP complex; C:endosome; C:Golgi apparatus; C:cytosol; C:endosome membrane; C:membrane"
ppa:PAS_chr3_0300;	P:GO:0006457; P:GO:0051086; F:GO:0005524; F:GO:0016887; F:GO:0051082; F:GO:0140662; C:GO:0005737; C:GO:0005832	P:protein folding; P:chaperone mediated protein folding independent of cofactor; F:ATP binding; F:ATP hydrolysis activity; F:unfolded protein binding; F:ATP-dependent protein folding chaperone; C:cytoplasm; C:chaperonin-containing T-complex
ppa:PAS_chr3_0299;		
ppa:PAS_chr3_0298;	P:GO:0008360; C:GO:0051285	P:regulation of cell shape; C:cell cortex of cell tip
ppa:PAS_chr3_0297;		
ppa:PAS_chr3_0295;	P:GO:0003333; P:GO:0015828; F:GO:0005302; C:GO:0005773; C:GO:0005774; C:GO:0016020	P:amino acid transmembrane transport; P:tyrosine transport; F:L-tyrosine transmembrane transporter activity; C:vacuole; C:vacuolar membrane; C:membrane
ppa:PAS_chr3_0294;	P:GO:0006561; P:GO:0008652; P:GO:1901605; F:GO:0003723; F:GO:0004349; F:GO:0005524; F:GO:0016301; C:GO:0005737; C:GO:0005829	P:proline biosynthetic process; P:amino acid biosynthetic process; P:alpha-amino acid metabolic process; F:RNA binding; F:glutamate 5-kinase activity; F:ATP binding; F:kinase activity; C:cytoplasm; C:cytosol
ppa:PAS_chr3_0293;	P:GO:0006511; P:GO:0016567; P:GO:0031145; P:GO:0045842; P:GO:0051301; F:GO:0008270; F:GO:0016874; F:GO:0046872; F:GO:0061630; F:GO:0097602; C:GO:0005634; C:GO:0005680	P:ubiquitin-dependent protein catabolic process; P:protein ubiquitination; P:anaphase-promoting complex-dependent catabolic process; P:positive regulation of mitotic metaphase/anaphase transition; P:cell division; F:zinc ion binding; F:ligase activity; F:metal ion binding; F:ubiquitin protein ligase activity; F:cullin family protein binding; C:nucleus; C:anaphase-promoting complex
ppa:PAS_chr3_1176;	P:GO:0000056; P:GO:0042274; C:GO:0005634; C:GO:0005829; C:GO:0030688	"P:ribosomal small subunit export from nucleus; P:ribosomal small subunit biogenesis; C:nucleus; C:cytosol; C:preribosome, small subunit precursor"
ppa:PAS_chr3_0292;	P:GO:0000462; P:GO:0006357; P:GO:0042274; C:GO:0005634; C:GO:0005730	"P:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); P:regulation of transcription by RNA polymerase II; P:ribosomal small subunit biogenesis; C:nucleus; C:nucleolus"
ppa:PAS_chr3_1175;	P:GO:0006914; P:GO:0016192; P:GO:0034058; C:GO:0000329; C:GO:0005737	P:autophagy; P:vesicle-mediated transport; P:endosomal vesicle fusion; C:fungal-type vacuole membrane; C:cytoplasm
ppa:PAS_chr3_0291;	P:GO:0006744; P:GO:0008299; F:GO:0002083; F:GO:0002094; F:GO:0004659; F:GO:0008412; F:GO:0016740; F:GO:0047293; C:GO:0005739; C:GO:0005743; C:GO:0016020	P:ubiquinone biosynthetic process; P:isoprenoid biosynthetic process; F:obsolete 4-hydroxybenzoate decaprenyltransferase activity; F:polyprenyltransferase activity; F:prenyltransferase activity; F:4-hydroxybenzoate polyprenyltransferase activity; F:transferase activity; F:obsolete 4-hydroxybenzoate nonaprenyltransferase activity; C:mitochondrion; C:mitochondrial inner membrane; C:membrane
ppa:PAS_chr3_0290;	P:GO:0002181; P:GO:0006412; F:GO:0003735; C:GO:0005737; C:GO:0005829; C:GO:0005840; C:GO:0010494; C:GO:0022627; C:GO:1990904	P:cytoplasmic translation; P:translation; F:structural constituent of ribosome; C:cytoplasm; C:cytosol; C:ribosome; C:cytoplasmic stress granule; C:cytosolic small ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr3_0289;		
ppa:PAS_chr3_0288;	P:GO:0031505	P:fungal-type cell wall organization
ppa:PAS_chr3_0287;	P:GO:0006897; P:GO:0030866; P:GO:0031505; P:GO:0032185; C:GO:0005886; C:GO:0005938; C:GO:0016020; C:GO:0045121	P:endocytosis; P:cortical actin cytoskeleton organization; P:fungal-type cell wall organization; P:septin cytoskeleton organization; C:plasma membrane; C:cell cortex; C:membrane; C:membrane raft
ppa:PAS_chr3_0286;	P:GO:0005979; F:GO:0008157; F:GO:2001069; C:GO:0000164	P:regulation of glycogen biosynthetic process; F:protein phosphatase 1 binding; F:glycogen binding; C:protein phosphatase type 1 complex
ppa:PAS_chr3_0285;	P:GO:0006412; P:GO:0006425; P:GO:0043604; F:GO:0004812; F:GO:0004819; F:GO:0005524; C:GO:0005737; C:GO:0005829; C:GO:0017101	P:translation; P:glutaminyl-tRNA aminoacylation; P:amide biosynthetic process; F:aminoacyl-tRNA ligase activity; F:glutamine-tRNA ligase activity; F:ATP binding; C:cytoplasm; C:cytosol; C:aminoacyl-tRNA synthetase multienzyme complex
ppa:PAS_chr3_0284;		
ppa:PAS_chr3_0283;	F:GO:0004040; F:GO:0016787; F:GO:0043864	F:amidase activity; F:hydrolase activity; F:indoleacetamide hydrolase activity
ppa:PAS_chr3_0282;	P:GO:0015847; P:GO:0015848; P:GO:0071918; P:GO:1903711; F:GO:0015204; F:GO:0015489; F:GO:0015606; C:GO:0005886; C:GO:0016020	P:putrescine transport; P:spermidine transport; P:urea transmembrane transport; P:spermidine transmembrane transport; F:urea transmembrane transporter activity; F:putrescine transmembrane transporter activity; F:spermidine transmembrane transporter activity; C:plasma membrane; C:membrane
ppa:PAS_chr1-4_0235;ppa:PAS_chr3_1174;	P:GO:0000028; P:GO:0000054; P:GO:0002181; P:GO:0006412; P:GO:0030490; P:GO:1900153; F:GO:0003735; C:GO:0005737; C:GO:0005829; C:GO:0005840; C:GO:0022627; C:GO:1990904	"P:ribosomal small subunit assembly; P:ribosomal subunit export from nucleus; P:cytoplasmic translation; P:translation; P:maturation of SSU-rRNA; P:positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; F:structural constituent of ribosome; C:cytoplasm; C:cytosol; C:ribosome; C:cytosolic small ribosomal subunit; C:ribonucleoprotein complex"
ppa:PAS_chr3_0281;	P:GO:0071543; P:GO:1901907; P:GO:1901909; P:GO:1901911; F:GO:0000298; F:GO:0003723; F:GO:0008486; F:GO:0016462; F:GO:0016787; F:GO:0034431; F:GO:0034432; F:GO:0046872; C:GO:0005634; C:GO:0005737	P:diphosphoinositol polyphosphate metabolic process; P:diadenosine pentaphosphate catabolic process; P:diadenosine hexaphosphate catabolic process; P:adenosine 5'-(hexahydrogen pentaphosphate) catabolic process; F:endopolyphosphatase activity; F:RNA binding; F:diphosphoinositol-polyphosphate diphosphatase activity; F:pyrophosphatase activity; F:hydrolase activity; F:bis(5'-adenosyl)-hexaphosphatase activity; F:bis(5'-adenosyl)-pentaphosphatase activity; F:metal ion binding; C:nucleus; C:cytoplasm
ppa:PAS_chr3_0280;	P:GO:0045048; C:GO:0005829; C:GO:0072380	P:protein insertion into ER membrane; C:cytosol; C:TRC complex
ppa:PAS_chr3_0279;	P:GO:0007029; P:GO:0016320; P:GO:0055085; F:GO:0003924; F:GO:0005525; F:GO:0016787; C:GO:0005783; C:GO:0005789; C:GO:0016020	P:endoplasmic reticulum organization; P:endoplasmic reticulum membrane fusion; P:transmembrane transport; F:GTPase activity; F:GTP binding; F:hydrolase activity; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane
ppa:PAS_chr3_0278;	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane
ppa:PAS_chr3_0277;	P:GO:0006098; P:GO:0009051; P:GO:0019521; P:GO:0046177; F:GO:0004616; F:GO:0008114; F:GO:0016491; F:GO:0050661; C:GO:0005829	"P:pentose-phosphate shunt; P:pentose-phosphate shunt, oxidative branch; P:D-gluconate metabolic process; P:D-gluconate catabolic process; F:phosphogluconate dehydrogenase (decarboxylating) activity; F:phosphogluconate 2-dehydrogenase activity; F:oxidoreductase activity; F:NADP binding; C:cytosol"
ppa:PAS_chr3_0276;		
ppa:PAS_chr3_0275;	F:GO:0004540; C:GO:0005634	F:RNA nuclease activity; C:nucleus
ppa:PAS_chr3_0274;	P:GO:0006888; P:GO:0006890; P:GO:0006906; P:GO:0015031; P:GO:0048280; F:GO:0005484; C:GO:0000139; C:GO:0005783; C:GO:0005789; C:GO:0005793; C:GO:0005794; C:GO:0012505; C:GO:0012507; C:GO:0016020; C:GO:0031201; C:GO:0043231; C:GO:0098588	"P:endoplasmic reticulum to Golgi vesicle-mediated transport; P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum; P:vesicle fusion; P:protein transport; P:vesicle fusion with Golgi apparatus; F:SNAP receptor activity; C:Golgi membrane; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:endoplasmic reticulum-Golgi intermediate compartment; C:Golgi apparatus; C:endomembrane system; C:ER to Golgi transport vesicle membrane; C:membrane; C:SNARE complex; C:intracellular membrane-bounded organelle; C:bounding membrane of organelle"
ppa:PAS_chr3_0273;		
ppa:PAS_chr3_0272;	P:GO:0006357; F:GO:0003712; C:GO:0005634; C:GO:0016592; C:GO:0070847	P:regulation of transcription by RNA polymerase II; F:transcription coregulator activity; C:nucleus; C:mediator complex; C:core mediator complex
ppa:PAS_chr3_0271;	P:GO:0019432; P:GO:0030258; P:GO:0046474; F:GO:0003841; F:GO:0016746; F:GO:0047184; C:GO:0005783; C:GO:0016020	P:triglyceride biosynthetic process; P:lipid modification; P:glycerophospholipid biosynthetic process; F:1-acylglycerol-3-phosphate O-acyltransferase activity; F:acyltransferase activity; F:1-acylglycerophosphocholine O-acyltransferase activity; C:endoplasmic reticulum; C:membrane
ppa:PAS_chr3_0270;	P:GO:0045333; F:GO:0048039; C:GO:0005739	P:cellular respiration; F:ubiquinone binding; C:mitochondrion
ppa:PAS_chr3_0269;	P:GO:0006623; P:GO:0015031; P:GO:0042147; F:GO:0032266; F:GO:0035091; C:GO:0005737; C:GO:0005768; C:GO:0005829; C:GO:0016020	"P:protein targeting to vacuole; P:protein transport; P:retrograde transport, endosome to Golgi; F:phosphatidylinositol-3-phosphate binding; F:phosphatidylinositol binding; C:cytoplasm; C:endosome; C:cytosol; C:membrane"
